media_key,area,kind,source,canonical_name,provenance,verified,status,notes
homepage-hero-rotation,Homepage,hero-rotation,content/home/heroes.json,existing rotation,ESC main + Founder Excel,YES,VERIFIZIERT,Optik erhalten; tägliches Nachwuchsbild; kein nächstes Spiel.
river-rats-teamfoto,River Rats,team-photo,ESC PR #33 / current assets,,Git candidate; Founder sheet has no exact URL,NO,ZU VERIFIZIEREN,Eindeutige Teamfoto-Zuordnung vor Umsetzung erforderlich.
damen-teamfoto,Damen,team-photo-or-hero,https://www.esc-geretsried.de/static/175140edcd3d858ee584e34bb99491d8/14b42/ESC-Geretsried-RiverRats-Teamfoto-2025-2026-Print.jpg,esc-geretsried-damen-teamfoto-2025-2026.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder ausdrücklich als korrekt bestätigt; irreführender Dateiname; rename planned.
u20-teamfoto,U20,team-photo-or-hero,https://www.esc-geretsried.de/static/443a6fd0826882768e809773fdc3e515/14b42/Geretsried_25-262.jpg,Geretsried_25-262.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder-Referenz mit Bereichszuordnung; vor Assetablage Hash/Metadaten erfassen.
u17-teamfoto,U17,team-photo-or-hero,https://www.esc-geretsried.de/static/02228555ac3f480223d31b13b0548b6d/14b42/Geretsried_25-263.jpg,Geretsried_25-263.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder-Referenz mit Bereichszuordnung; vor Assetablage Hash/Metadaten erfassen.
u15-teamfoto,U15,team-photo-or-hero,https://www.esc-geretsried.de/static/a36a25d6d4e91a476022b0b540499d58/14b42/Geretsried_25-264.jpg,Geretsried_25-264.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder-Referenz mit Bereichszuordnung; vor Assetablage Hash/Metadaten erfassen.
u13-teamfoto,U13,team-photo-or-hero,https://www.esc-geretsried.de/static/c33108d38f0aa860ea9c06f362fdfa06/14b42/Geretsried_25-265.jpg,Geretsried_25-265.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder-Referenz mit Bereichszuordnung; vor Assetablage Hash/Metadaten erfassen.
u11-teamfoto,U11,team-photo-or-hero,https://www.esc-geretsried.de/static/4e7ec68ae5aca4fdd6ed26d26115c74d/14b42/Geretsried_25-266.jpg,Geretsried_25-266.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Aktualisierte Excel und alte U11-Seite ordnen Geretsried_25-266 eindeutig U11 zu; für Homepage-Rotation freigegeben.
u9-teamfoto,U9,team-photo-or-hero,https://www.esc-geretsried.de/static/acd60fcced000defb7f0d8b4ee856ea5/14b42/u9-neu.jpg,u9-neu.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder-Referenz mit Bereichszuordnung; vor Assetablage Hash/Metadaten erfassen.
u7-teamfoto,U7,team-photo-or-hero,https://www.esc-geretsried.de/static/866b8ed673c85f30c9079ba86e6ce941/14b42/U7-neu.jpg,U7-neu.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder-Referenz mit Bereichszuordnung; vor Assetablage Hash/Metadaten erfassen.
eislaufschule-teamfoto,Eislaufschule,team-photo-or-hero,https://www.esc-geretsried.de/static/99dcab9d6a71e812272247d94e111422/ee604/Teamfoto.1.png,Teamfoto.1.png,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder-Referenz mit Bereichszuordnung; vor Assetablage Hash/Metadaten erfassen.
eiskunstlauf-teamfoto,Eiskunstlauf,team-photo-or-hero,https://www.esc-geretsried.de/static/69471a42e16b7a03d1190d51a413fcb0/14b42/Geretsried_25-269.jpg,Geretsried_25-269.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder-Referenz mit Bereichszuordnung; vor Assetablage Hash/Metadaten erfassen.
inklusion-teamfoto,Inklusion,team-photo-or-hero,https://www.esc-geretsried.de/static/c70b582919bfe856caeb07e44f322581/5fd6b/Bild_Inklusion.jpg,Bild_Inklusion.jpg,Founder Excel Medien_Downloads; Bildinhalt unverändert,YES,VERIFIZIERT,Founder-Referenz mit Bereichszuordnung; vor Assetablage Hash/Metadaten erfassen.
eislaufschule-downloads,Eislaufschule,download,alte Bereichsseite,eigene Downloads,Founder-Referenz; BinaryAssetProvider-Regeln beachten,NO,ZU VERIFIZIEREN,"Datei, Aktualität, Rechte und Zielmetadaten vor Implementierung prüfen; kein Binary in diesem PR."
eiskunstlauf-downloads,Eiskunstlauf,download,alte Bereichsseite,eigene Downloads,Founder-Referenz; BinaryAssetProvider-Regeln beachten,NO,ZU VERIFIZIEREN,"Datei, Aktualität, Rechte und Zielmetadaten vor Implementierung prüfen; kein Binary in diesem PR."
foerderverein-aufnahmeantrag,Förderverein,download,alte Förderverein-Seite,Aufnahmeantrag,Founder-Referenz; BinaryAssetProvider-Regeln beachten,NO,ZU VERIFIZIEREN,"Datei, Aktualität, Rechte und Zielmetadaten vor Implementierung prüfen; kein Binary in diesem PR."
foerderverein-satzung,Förderverein,download,alte Förderverein-Seite,Satzung,Founder-Referenz; BinaryAssetProvider-Regeln beachten,NO,ZU VERIFIZIEREN,"Datei, Aktualität, Rechte und Zielmetadaten vor Implementierung prüfen; kein Binary in diesem PR."
verein-downloadpaket,Verein,download,Excel Aufbau NEUE Vereinsseite,Leitbild; Satzung; Arbeitsstundennachweis; Bankverbindung; Mitglied werden; Geschäftsordnung; Beitragsordnung,Founder-Referenz; BinaryAssetProvider-Regeln beachten,NO,ZU VERIFIZIEREN,"Datei, Aktualität, Rechte und Zielmetadaten vor Implementierung prüfen; kein Binary in diesem PR."
