page,category,source,source_derived,applicability,status,notes
impressum,Anbieter/Organisation,https://www.esc-geretsried.de/impressum/,YES,SOURCE-DERIVED; ZU VERIFIZIEREN,ZU VERIFIZIEREN,"Name, Anschrift und Vereinsbezug übernehmen, aber vor Go-Live gegen Register/Vereinsfreigabe prüfen."
impressum,Registerangaben,https://www.esc-geretsried.de/impressum/,YES,SOURCE-DERIVED; TARGET STILL APPLICABLE; ZU VERIFIZIEREN,ZU VERIFIZIEREN,"Amtsgericht München, Vereinsregister/VR-Angabe nur nach aktueller Bestätigung."
impressum,Vertretungsberechtigte/Personen/Kontakt,https://www.esc-geretsried.de/impressum/,YES,SOURCE-DERIVED; ZU VERIFIZIEREN,ZU VERIFIZIEREN,Personen- und zeitabhängig; keine zusätzliche PII recherchieren.
impressum,Redaktion/technische Credits,https://www.esc-geretsried.de/impressum/,YES,SOURCE-DERIVED; OBSOLETE CANDIDATE; ZU VERIFIZIEREN,ZU VERIFIZIEREN,"Nur übernehmen, soweit im Zielbetrieb sachlich korrekt."
datenschutz,A) Organisationsbezogene Aussagen,https://www.esc-geretsried.de/datenschutzerklaerung/; imports/esc-int-pages/datenschutz/index.html,YES,SOURCE-DERIVED; TARGET STILL APPLICABLE; ZU VERIFIZIEREN,ZU VERIFIZIEREN,Vereinsbezug und Verantwortlichkeit gegen aktuellen Stand prüfen.
datenschutz,B) Kontakt-/Verantwortlichenangaben,https://www.esc-geretsried.de/datenschutzerklaerung/; imports/esc-int-pages/datenschutz/index.html,YES,SOURCE-DERIVED; ZU VERIFIZIEREN,ZU VERIFIZIEREN,"Personen, Anschrift und Datenschutzkontakt zeitnah bestätigen."
datenschutz,C) Hosting-/Provider-Aussagen,https://www.esc-geretsried.de/datenschutzerklaerung/; imports/esc-int-pages/datenschutz/index.html,YES,SOURCE-DERIVED; OBSOLETE CANDIDATE; ZU VERIFIZIEREN,ZU VERIFIZIEREN,Nur gegen tatsächlichen Zielbetrieb formulieren; Providerneutralität wahren.
datenschutz,D) Cookies,https://www.esc-geretsried.de/datenschutzerklaerung/; imports/esc-int-pages/datenschutz/index.html,YES,SOURCE-DERIVED; ZU VERIFIZIEREN,ZU VERIFIZIEREN,Tatsächliche Ziel-Cookies/Consent-Konfiguration inventarisieren.
datenschutz,E) Analytics/Tracking,https://www.esc-geretsried.de/datenschutzerklaerung/; imports/esc-int-pages/datenschutz/index.html,YES,SOURCE-DERIVED; OBSOLETE CANDIDATE; ZU VERIFIZIEREN,ZU VERIFIZIEREN,MVP sagt keine Analytics; Zielbetrieb technisch prüfen.
datenschutz,F) Social Media,https://www.esc-geretsried.de/datenschutzerklaerung/; imports/esc-int-pages/datenschutz/index.html,YES,SOURCE-DERIVED; ZU VERIFIZIEREN,ZU VERIFIZIEREN,Externe Links vs. Plugins und Datenflüsse unterscheiden.
datenschutz,G) YouTube/Video,https://www.esc-geretsried.de/datenschutzerklaerung/; imports/esc-int-pages/datenschutz/index.html,YES,SOURCE-DERIVED; ZU VERIFIZIEREN,ZU VERIFIZIEREN,V1 nur strukturierte externe Links; keine beliebigen iframes/scripts.
datenschutz,H) Formulare/Spenden/sonstige externe Dienste,https://www.esc-geretsried.de/datenschutzerklaerung/; imports/esc-int-pages/datenschutz/index.html,YES,SOURCE-DERIVED; OBSOLETE CANDIDATE; ZU VERIFIZIEREN,ZU VERIFIZIEREN,Insbesondere geplante Bestellseite und künftige Formulare getrennt prüfen.
datenschutz,I) Betroffenenrechte/gesetzliche Standardabschnitte,https://www.esc-geretsried.de/datenschutzerklaerung/; imports/esc-int-pages/datenschutz/index.html,YES,SOURCE-DERIVED; TARGET STILL APPLICABLE; ZU VERIFIZIEREN,ZU VERIFIZIEREN,Keine Rechtsberatung; fachlich-rechtliche Freigabe erforderlich.
