key,name,path,scope,sources,texts,images,downloads,sport,news,social_video,migrate,exclude,missing,verify,status,founder_text,hero_copy,member_admin_source
homepage,Homepage,/,homepage,https://preview.esc-geretsried.de/ | content/home/heroes.json | content/home/home.json,"Bestehende Preview-Komposition aus Hero, News und Terminen beibehalten",Rollierender Hero; Nachwuchsbild täglich; ausschließlich verifizierte Teamfotos; U11 nach Verifizierung aufnehmen,,Kein nächstes Spiel auf der Homepage,Nur neue redaktionelle News; keine historische Homepage-Newsmigration,Nur verifizierte offizielle Social-URLs; keine beliebigen iframes/scripts,Bestehende Preview-Optik und Rotation als Zielreferenz,Nächstes Spiel | neue Homepage-Struktur,,Preview vor Umsetzung visuell gegen aktuellen Stand prüfen,VERIFIZIERT,,,
river-rats,River Rats,/river-rats/,river-rats,https://orp-esc-int.netlify.app/river-rats/ | https://preview.esc-geretsried.de/river-rats/ | content/river-rats/team.json | content/river-rats/hockeydata.json | ESC PR #33,Übersicht | Trainer/Betreuer/Kontakte/Kader aus Altbestand,Hero | Teamfoto,,"HockeyData: nächstes Ligaspiel, Spielplan, Ergebnisse, Tabelle | Manuell: Vorbereitung, Freundschaft, Turniere",Historische News migrieren; Kandidaten einzeln in news.csv,"Instagram-Handle riverrats_geretsried erst als vollständige offizielle URL verwenden, wenn verifiziert",Kanonische Teamstruktur | historische News | geschützte Providerbindung unverändert referenzieren,Altes Layout | Provider/API/League Binding ändern | Homepage-Spielkarte,,Founder-Wunsch zusätzlicher Eintrittspreise-Tab gegen kanonische Teamnavigation entscheiden,WIDERSPRUCH,,,
river-rats-eintrittspreise,River Rats Eintrittspreise,/river-rats/eintrittspreise/,river-rats,https://www.esc-geretsried.de/river-rats/eintrittspreise/,Vorhandene Eintrittspreise als Quellinventar,,,,Keine historische Newsmigration,,Nur nach HQ-Entscheidung als Unterseite oder Aktion,Ohne Freigabe nicht als zusätzlicher Team-Tab einbauen,,Zielposition und Aktualität der Preise,ZU VERIFIZIEREN,,,
river-rats-bestellung,River Rats Saisonkarten-Bestellung,/river-rats/bestellung/,river-rats,https://esc-geretsried.github.io/bestellung/,Founder verlangt eine Preview-Seite mit funktionaler/inhaltlicher Entsprechung,,,,Keine historische Newsmigration,,Nur nach gesonderter Review als neue Seite spezifizieren/implementieren,"Keine ungeprüfte Kopie von Scripts, Formularen oder externen Integrationen","Formular-, Datenschutz-, Datenfluss- und technische Zielanforderungen fehlen",Umfang und Datenschutz vor Implementierung,FEHLT,,,
damen,Damen,/damen/,damen,https://www.esc-geretsried.de/eishockey/damen/ | imports/esc-int-pages/river-rats-damen/index.html,Übersicht; Trainer/Betreuer/Kontakte/Kader aus altem Mannschafts-Tab,Founder-bestätigtes Damen-Teamfoto; kontrolliert kanonisch umbenennen,,"Offizieller DEB/BEV-Portal-Link für Spielplan, Tabelle, Ergebnisse; optional manuell",Historische News ausdrücklich nicht migrieren,Instagram-Handle esc_riverrats_damen erst nach URL-Verifizierung,Kanonische Teamstruktur und Bestandsinventar,Historische Damen-News | automatisch erfundene Tabelle,,Kader-/Kontaktstand unmittelbar vor Umsetzung,VERIFIZIERT,,,
nachwuchs,Nachwuchs,/nachwuchs/,nachwuchs,Excel Referenzen!D6,Founder-Text: Nachwuchs bündelt U20 bis U7; Eislaufschule bleibt eigener Bereich; alle Bezeichnungen verlinken,,,,Historische allgemeine Nachwuchs-News nicht migrieren,Instagram-Handle riverrats_nachwuchs erst nach URL-Verifizierung,Übersichts- und Linktext,Historische Nachwuchs-News | Eislaufschule als Mannschaft behandeln,,,VERIFIZIERT,"Der Nachwuchsbereich bündelt die Mannschaften U20 bis U7.

Mannschaften
U20
U17
U15
U13
U11
U9
U7

Einstieg ins Eislaufen
Die Eislaufschule ist das Einstiegs- und Anfängerangebot des ESC. Sie ist keine Mannschaft und bleibt als eigener Bereich geführt.",,
u20,U20,/u20/,u20,https://www.esc-geretsried.de/eishockey/junioren-u20/ | Excel Aufbau Teamseiten alte Website,Übersicht; Trainer/Betreuer/Kontakte/Kader und sonstige relevante Bestandsinhalte,Hero | Teamfoto direkt nach Übersicht,,"Offizieller DEB/BEV-Portal-Link für Spielplan, Tabelle, Ergebnisse; optional manuell",Historische News nicht migrieren,,Kanonische Teamstruktur | Bestandsinhalte in neue Struktur überführen,Altes Layout | automatisch erfundene Tabelle | Historische News,,Trainer-/Betreuer-/Kaderstand vor Umsetzung | Live-Erreichbarkeit der Founder-Seite,ZU VERIFIZIEREN,,,
u17,U17,/u17/,u17,https://www.esc-geretsried.de/eishockey/jugend-u17/ | Excel Aufbau Teamseiten alte Website,Übersicht; Trainer/Betreuer/Kontakte/Kader und sonstige relevante Bestandsinhalte,Hero | Teamfoto direkt nach Übersicht,,"Offizieller DEB/BEV-Portal-Link für Spielplan, Tabelle, Ergebnisse; optional manuell",Historische News nicht migrieren,,Kanonische Teamstruktur | Bestandsinhalte in neue Struktur überführen,Altes Layout | automatisch erfundene Tabelle | Historische News,,Trainer-/Betreuer-/Kaderstand vor Umsetzung,VERIFIZIERT,,,
u15,U15,/u15/,u15,https://www.esc-geretsried.de/eishockey/schueler-u15/ | Excel Aufbau Teamseiten alte Website,Übersicht; Trainer/Betreuer/Kontakte/Kader und sonstige relevante Bestandsinhalte,Hero | Teamfoto direkt nach Übersicht,,"Offizieller DEB/BEV-Portal-Link für Spielplan, Tabelle, Ergebnisse; optional manuell",Historische News nicht migrieren,,Kanonische Teamstruktur | Bestandsinhalte in neue Struktur überführen,Altes Layout | automatisch erfundene Tabelle | Historische News,,Trainer-/Betreuer-/Kaderstand vor Umsetzung,VERIFIZIERT,,,
u13,U13,/u13/,u13,https://www.esc-geretsried.de/eishockey/knaben-u13/ | Excel Aufbau Teamseiten alte Website,Übersicht; Trainer/Betreuer/Kontakte/Kader und sonstige relevante Bestandsinhalte,Hero | Teamfoto direkt nach Übersicht,,"Offizieller DEB/BEV-Portal-Link für Spielplan, Tabelle, Ergebnisse; optional manuell",Historische U13-News migrieren; Kandidaten einzeln inventarisiert,,Kanonische Teamstruktur | Bestandsinhalte in neue Struktur überführen,Altes Layout | automatisch erfundene Tabelle | nicht belegte News,,Trainer-/Betreuer-/Kaderstand vor Umsetzung | Live-Erreichbarkeit der Founder-Seite,ZU VERIFIZIEREN,,,
