sponsor_key,display_name,name_source,source_page,source_image,source_image_sha256,source_link,link_verified,logo_verified,notes,status
edeka-heininger,Edeka Heininger,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-2,word/media/image1.jpeg,2749ffeb6f5739b8c8976bbf8700522af08cb372e70bd7bd606f08b351179f95,https://www.edeka-heininger-dietz.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
ehgartner-entsorgung,Ehgartner Entsorgung,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-6,word/media/image2.jpeg,793d912ae96601387ce9841d45d2915935afc5e31f8cc6873da1c29845b66057,https://www.ehgartner.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
energie-suedbayern-gmbh,Energie Südbayern GmbH,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-10,word/media/image3.png,a0617b2f3c1c3b10775c8456504129522b72bef58bfa8ff212130e69e3fb6ca4,https://www.esb.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
sparkasse,Sparkasse,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-14,word/media/image4.jpeg,ffc7ddd1d4d5205488af5189f4c1646d83a033c47334a3e90c29cf4021b169fc,https://www.spktw.de/,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
ipe-d-a-ch,IPE D.A.CH,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-18,word/media/image5.jpeg,2a016739e53c68773ade4a563785326ca549194325e53dc6e27b0350aa8d2706,https://www.institutional-investment.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
elektro-friedl-gmbh,Elektro Friedl GmbH,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-22,word/media/image6.jpeg,ab656e454d01f57ecb03e1a70975c0c42bc305fd7f63403982605ee17c08eafe,https://www.ep.de/friedl,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
agrobs,Agrobs,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-26,word/media/image7.jpeg,070ea096deba1e5768fe72bc89d611d7bea3151c8e3089e95e6f7ceedff81ccb,https://agrobs.de/,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
bartsch-immobilien-gmbh,Bartsch Immobilien GmbH,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-30,word/media/image8.jpeg,0548588a41f91f7db9e8f70735cc2b29b9ae425f997540ee3155fdf98088c50f,https://www.bartsch-immo.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
pana,Pana,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-34,word/media/image9.jpeg,8a97da084fd6c9dec272adbca0e720633fa044ec159528b86d08b2ff13010719,https://panafoamtec.de/,YES,YES,Founder relationship target and destination context checked. Same embedded image/link occurs again at DOCX paragraph 168; deduplicated to one sponsor row.,VERIFIZIERT
planisware-deutschland-gmbh,Planisware Deutschland GmbH,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-38,word/media/image10.png,bfac84420368a7b7051212e352ba162cd348504861ff6ce14237f163c629f9ca,https://planisware.com/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
autohaus-jorde,Autohaus Jorde,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-42,word/media/image11.jpeg,bdb6d970fec95274b90e89e9381265e28c719c92d2150aef2142f397646cad4c,https://www.autohaus-jorde.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
kraemmel,Krämmel,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-46,word/media/image12.jpeg,acc5d32dfa4a77db85759e7c5c4d9bdf17757ac8df36951ed5adba580b91dc23,https://www.kraemmel.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
lhs,LHS,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-50,word/media/image13.jpeg,f12a488295760be79fc1151605ce32aaa0d461ba29251d6253f28a01ae9b7d13,https://www.loisachtaler-haustechnik.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
bronberger-kessler,Bronberger & Kessler,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-54,word/media/image14.jpeg,f289f0a5287a2fcb7c4e4523fc22f4c073f2ddbc28d985f0d0efc78a86211234,https://www.energiedirect-bayern.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
l-r-automobile,L & R Automobile,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-58,word/media/image15.jpeg,816fbc19f5867c00add55d495efffb0f76ede019b8803479bba6bda3dac33c07,https://lrauto.de/,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
lvm-versicherung,LVM Versicherung,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-62,word/media/image16.jpeg,4230cd3c4e583fdd9ed0004ffa21b5ae9e797ab358293c3826ff55038ce35105,https://polz.lvm.de/,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
hockey-sports-ott,Hockey Sports Ott,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-66,word/media/image17.jpeg,4b597739f089bbdd5d52b57ab875f9dd9f8884e103254a95fb22a22b3cac472a,https://www.hockey-sports.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
autohaus-pennig,Autohaus Pennig,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-70,word/media/image18.jpeg,56dc5403ccb74694b138020a6a6cc6db332a67cbc61f7606f8166b041f1fd8a6,https://www.pennig.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
gecko-fastener,Gecko Fastener,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-74,word/media/image19.jpeg,bfb1d0b296f1a82a85868b96a6ec45c1ad2554fe5251ec1eb9c4c847bc0df6be,https://www.gecko-fastener.com/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
konrad-gmbh,Konrad GmbH,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-78,word/media/image20.jpeg,1546aa3e124a6c4b564b0ce29c2dfd22460f7ab5f521ef0bcc186284d13c2152,https://www.konrad-autoteile.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
speck-pumpen,Speck Pumpen,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-82,word/media/image21.jpeg,9362fe07858c4e528b4a7d2a947321c5333a415498c08b206f35ce9e3467affd,https://speck-kolbenpumpen.com/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
gls,GLS,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-86,word/media/image22.png,fb2e20227a9fea50bcbda80de44654b012b6c971e138a6f59a0a01c9775a9824,https://gls-group.eu/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
fueger-fachhandel-gmbh,Füger Fachhandel GmbH,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-90,word/media/image23.jpeg,4f895306bc12164ed85b6bbae994ab1d317a3a35acd87373ab8c9188ec14c117,https://www.fueger-industriearmaturen.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
fts-bauelemente,FTS Bauelemente,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-94,word/media/image24.jpeg,276b263e3c057a6f9209fdb6e5e7edaf410d57723387792929f577839ccc1cd8,https://fenster-tueren-sonnenschutz.com/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
raiffeisenbank-isar-loisachtal-eg,Raiffeisenbank Isar-Loisachtal eG,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-98,word/media/image25.jpeg,cca7d12c9896a081227b11a9f1c2fe7f937a165061e091457a273117fd6a75ab,https://www.rileg.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
fischer-johann-gmbh,Fischer Johann GmbH,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-102,word/media/image26.jpeg,541df404d16f2dd1958dcd8be6a825f34bf603dca376e201dca62f5b6522fe26,https://www.facebook.com/fischerjohanngmbhschrottundmetallhandel/,NO,YES,Destination could not be independently confirmed during intake.,ZU VERIFIZIEREN
lug-gmbh-co-kg,Lug GmbH&Co KG,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-106,word/media/image27.jpeg,b4f5cb51fddd555167b035a4db81bd39dc6ac2d80d035fa31b936b7e8df606ef,https://www.lugkg.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
pw-dienstleistungen,PW Dienstleistungen,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-110,word/media/image28.jpeg,32b715086d19017d62da3679737f614936f4d203e48362ab31da776aa140e2d4,https://www.pwdienstleistungen.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
auto-graf,Auto Graf,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-114,word/media/image29.jpeg,1c9fdaf12f8357747d80ffb025022ce24f04b524f46becc81fef0d12ace92db7,https://www.mazda-autohaus-graf-muensing.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
dielack,dieLack!,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-118,word/media/image30.png,640f3ce3db93d459b7b1dd2db388a28e926a8becaa8ca8fa0df0370276f051a7,https://www.dielack.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
franco-fresco-gmbh-co-kg,Franco Fresco GmbH & Co. KG,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-122,word/media/image31.jpeg,f459c018e064265c899c18057a4e4a8c16f100dc1e06d8f243eea956f3688d4c,https://gustavo-gusto.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
hotel-zur-post,Hotel zur Post,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-126,word/media/image32.jpeg,786491c56eb78651a673c85b45223a5800554f7cafccc4ae574b52adab83f64a,http://www.oberhauser-egling.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
holzer-tiefbau,Holzer Tiefbau,DOCX visible caption,Sponsoren Fotos und Link.docx#paragraph-130,word/media/image33.png,88f7d162d25e315f8eee3af956847f46b0101fcf4713b479b9207077e64e449f,https://www.holzer-tiefbau.de/,YES,YES,Founder relationship target and destination context checked.,VERIFIZIERT
