key,area,finding,classification,gate_class,blocks_initial_technical_seed,blocks_editor_acceptance,blocks_final_golive,can_remain_to_verify_during_initial_seed,owner,resolution
OP-002,River Rats Bestellung,"Zweck, Datenfluss, Formularfunktion, Datenschutzrelevanz und technische Zielanforderungen der geforderten Bestellseite sind nicht belastbar spezifiziert.",FEHLT,BLOCKS FINAL GO-LIVE,NO,NO,YES,YES,ORP Virtual HQ / Founder,Separaten fachlich-technischen Auftrag erstellen; Seite im Initial Seed auslassen.
OP-005,Sponsoren,Founder-DOCX verlinkt Josef Mayr Bauunternehmen auf die ESC-Homepage statt auf ein belegtes Sponsorenziel.,WIDERSPRUCH,CAN REMAIN TO VERIFY DURING INITIAL SEED,NO,NO,NO,YES,Founder / Marketing,Keine Ersatz-URL raten; Sponsor/Link bis zur Fachentscheidung unveröffentlicht lassen oder nur nach expliziter Freigabe linklos vorbereiten.
OP-006,Sponsoren,"Alte Sponsoring-Seite, aktuelle Git-Inhalte und Acceptance-Kontext ergeben keinen eindeutig freigegebenen öffentlichen Ansprechpartner.",WIDERSPRUCH,CAN REMAIN TO VERIFY DURING INITIAL SEED,NO,NO,NO,YES,Founder / Marketing,Öffentliche Kontaktperson bestätigen oder Kontaktabschnitt bis dahin auslassen.
OP-007,Eiskunstlauf News,"Historische Migration ist freigegeben, vollständige Einzelartikelliste ist im Lieferpaket nicht enthalten.",FEHLT,BLOCKS FINAL GO-LIVE,NO,NO,YES,YES,Content review,"Alle Kandidaten mit URL, Datum, Text, Medien und Rechten enumerieren; Initial Seed darf den ungeklärten Satz auslassen."
OP-008,Social,"Excel liefert Handles, keine unabhängig verifizierten vollständigen offiziellen URLs.",ZU VERIFIZIEREN,CAN REMAIN TO VERIFY DURING INITIAL SEED,NO,NO,NO,YES,Founder / area editors,Offizielle URLs bestätigen; bis dahin keine Social-URL veröffentlichen.
OP-009,Impressum,"Founder-Quelle ist vorhanden; Register-, Vertretungs-, Kontakt- und Credit-Angaben sind zeit-/personenabhängig.",ZU VERIFIZIEREN,BLOCKS FINAL GO-LIVE,NO,NO,YES,YES,Verein / legal review,Source-derived Draft/INT zulässig; unmittelbar vor PROD-Go-Live fachlich und rechtlich bestätigen.
OP-010,Datenschutz,Bestehender Text ist nur Referenz; Zielbetrieb und alle technisch abhängigen Aussagen sind noch nicht vollständig abgeglichen.,ZU VERIFIZIEREN,BLOCKS FINAL GO-LIVE,NO,NO,YES,YES,Technical owner / legal review,Source-derived Draft/INT zulässig; Zieldatenflüsse inventarisieren und vor PROD-Go-Live fachlich/rechtlich freigeben.
OP-011,Verein,Founder verlangt Markus Hätinen nicht aufzuführen; übrige Rollen/Namen bleiben zeitabhängig.,ZU VERIFIZIEREN,CAN REMAIN TO VERIFY DURING INITIAL SEED,NO,NO,NO,YES,Vereinsorganisation,Nur verifizierte Rollen/Namen seeden; ungeklärte Einträge auslassen.
OP-013,Sponsoren,Zehn weitere DOCX-Zieladressen konnten im Intake nicht unabhängig bestätigt werden.,ZU VERIFIZIEREN,CAN REMAIN TO VERIFY DURING INITIAL SEED,NO,NO,NO,YES,Founder / Marketing,Keine URL ersetzen oder raten; betroffene Links bis zur Verifikation zurückhalten.
OP-014,Downloads,"Aktualität, Zuordnung sowie Nutzungs-/Veröffentlichungsfähigkeit der referenzierten Downloads sind noch zu prüfen.",ZU VERIFIZIEREN,CAN REMAIN TO VERIFY DURING INITIAL SEED,NO,NO,NO,YES,Bereichsredaktion / asset review,Nur verifizierte Downloads seeden/veröffentlichen; ungeklärte Downloads auslassen.
OP-034,Editor Acceptance,Issue #34: Nicht berechtigter Account erreicht eine interne/ungeeignete Fehlerdarstellung.,ZU VERIFIZIEREN,BLOCKS EDITOR ACCEPTANCE,NO,YES,YES,NO,Editor implementation / acceptance,"Verständliche, nicht-technische Access-Denied-Endansicht real abnehmen; Issue offen lassen."
OP-035,Editor Acceptance,"Issue #35: Fehlerfeedback verschwindet bei Mannschaften; laut Kommentar ebenso bei News, Seiten, Staff/Betreuer und Spielern.",ZU VERIFIZIEREN,BLOCKS EDITOR ACCEPTANCE,NO,YES,YES,NO,Editor implementation / acceptance,IMPLEMENTED / AUTOMATED TESTS PASS getrennt von REAL ACCEPTANCE DEFECT OPEN führen; Issue offen lassen.
